connectivity,content,distance,filler,interface,K
0.10 ,0.1,0.01,100,30,3.60715
0.10 ,0.1,0.01,100,40,3.64805
0.10 ,0.1,0.01,100,50,3.68815
0.10 ,0.1,0.01,200,10,4.86105
0.10 ,0.1,0.01,200,20,4.8935
0.10 ,0.1,0.01,200,30,4.9231
0.10 ,0.1,0.01,200,40,4.95185
0.10 ,0.1,0.01,200,50,4.9801
0.10 ,0.1,0.01,300,10,5.9035
0.10 ,0.1,0.01,300,20,5.933
0.10 ,0.1,0.01,300,30,5.959
0.10 ,0.1,0.01,300,40,5.984
0.10 ,0.1,0.01,300,50,6.0085
0.10 ,0.1,0.01,400,10,6.8435
0.10 ,0.1,0.01,400,20,6.8715
0.10 ,0.1,0.01,400,30,6.896
0.10 ,0.1,0.01,400,40,6.9195
0.10 ,0.1,0.01,400,50,6.943
0.10 ,0.1,0.015,100,10,3.1721
0.10 ,0.1,0.015,100,20,3.2103
0.10 ,0.1,0.015,100,30,3.2467
0.10 ,0.1,0.015,100,40,3.28235
0.10 ,0.1,0.015,100,50,3.31735
0.10 ,0.1,0.015,200,10,4.37045
0.10 ,0.1,0.015,200,20,4.39905
0.10 ,0.1,0.015,200,30,4.42585
0.10 ,0.1,0.015,200,40,4.45205
0.10 ,0.1,0.015,200,50,4.478
0.10 ,0.1,0.015,300,10,5.346
0.10 ,0.1,0.015,300,20,5.372
0.10 ,0.1,0.015,300,30,5.396
0.10 ,0.1,0.015,300,40,5.42
0.10 ,0.1,0.015,300,50,5.443
0.10 ,0.1,0.015,400,10,6.248
0.10 ,0.1,0.015,400,20,6.273
0.10 ,0.1,0.015,400,30,6.296
0.10 ,0.1,0.015,400,40,6.3185
0.10 ,0.1,0.015,400,50,6.341
0.10 ,0.1,0.02,100,10,2.9426
0.10 ,0.1,0.02,100,20,2.9773
0.10 ,0.1,0.02,100,30,3.01055
0.10 ,0.1,0.02,100,40,3.04315
0.10 ,0.1,0.02,100,50,3.0753
0.10 ,0.1,0.02,200,10,4.06285
0.10 ,0.1,0.02,200,20,4.08955
0.10 ,0.1,0.02,200,30,4.1149
0.10 ,0.1,0.02,200,40,4.1399
0.10 ,0.1,0.02,200,50,4.1646
0.10 ,0.1,0.02,300,10,5.004
0.10 ,0.1,0.02,300,20,5.029
0.10 ,0.1,0.02,300,30,5.052
0.10 ,0.1,0.02,300,40,5.075
0.10 ,0.1,0.02,300,50,5.0975
0.10 ,0.1,0.02,400,10,5.888
0.10 ,0.1,0.02,400,20,5.912
0.10 ,0.1,0.02,400,30,5.9345
0.10 ,0.1,0.02,400,40,5.9565
0.10 ,0.1,0.02,400,50,5.9785
0.10 ,0.1,0.025,100,10,2.77275
0.10 ,0.1,0.025,100,20,2.80515
0.10 ,0.1,0.025,100,30,2.83635
0.10 ,0.1,0.025,100,40,2.867
0.10 ,0.1,0.025,100,50,2.89725
0.10 ,0.1,0.025,200,10,3.843
0.10 ,0.1,0.025,200,20,3.8686
0.10 ,0.1,0.025,200,30,3.8932
0.10 ,0.1,0.025,200,40,3.9174
0.10 ,0.1,0.025,200,50,3.9414
0.10 ,0.1,0.025,300,10,4.764
0.10 ,0.1,0.025,300,20,4.7879
0.10 ,0.1,0.025,300,30,4.81065
0.10 ,0.1,0.025,300,40,4.8333
0.10 ,0.1,0.025,300,50,4.85565
0.10 ,0.1,0.025,400,10,5.638
0.10 ,0.1,0.025,400,20,5.6615
0.10 ,0.1,0.025,400,30,5.6835
0.10 ,0.1,0.025,400,40,5.705
0.10 ,0.1,0.025,400,50,5.727
0.10 ,0.1,0.03,100,10,2.6387
0.10 ,0.1,0.03,100,20,2.66935
0.10 ,0.1,0.03,100,30,2.6991
0.10 ,0.1,0.03,100,40,2.7283
0.10 ,0.1,0.03,100,50,2.7572
0.10 ,0.1,0.03,200,10,3.6744
0.10 ,0.1,0.03,200,20,3.69915
0.10 ,0.1,0.03,200,30,3.72305
0.10 ,0.1,0.03,200,40,3.74675
0.10 ,0.1,0.03,200,50,3.77025
0.10 ,0.1,0.03,300,10,4.58245
0.10 ,0.1,0.03,300,20,4.60575
0.10 ,0.1,0.03,300,30,4.6282
0.10 ,0.1,0.03,300,40,4.6504
0.10 ,0.1,0.03,300,50,4.67255
0.10 ,0.1,0.03,400,10,5.451
0.10 ,0.1,0.03,400,20,5.474
0.10 ,0.1,0.03,400,30,5.4955
0.10 ,0.1,0.03,400,40,5.5175
0.10 ,0.1,0.03,400,50,5.539
0.10 ,0.1,0.035,100,10,2.5285
0.10 ,0.1,0.035,100,20,2.55795
0.10 ,0.1,0.035,100,30,2.58655
0.10 ,0.1,0.035,100,40,2.6148
0.10 ,0.1,0.035,100,50,2.64265
0.10 ,0.1,0.035,200,10,3.53895
0.10 ,0.1,0.035,200,20,3.5632
0.10 ,0.1,0.035,200,30,3.5867
0.10 ,0.1,0.035,200,40,3.61
0.10 ,0.1,0.035,200,50,3.6332
0.10 ,0.1,0.035,300,10,4.4383
0.10 ,0.1,0.035,300,20,4.4613
0.10 ,0.1,0.035,300,30,4.48355
0.10 ,0.1,0.035,300,40,4.50565
0.10 ,0.1,0.035,300,50,4.5276
0.10 ,0.1,0.035,400,10,5.304
0.10 ,0.1,0.035,400,20,5.3265
0.10 ,0.1,0.035,400,30,5.348
0.10 ,0.1,0.035,400,40,5.3695
0.10 ,0.1,0.035,400,50,5.391
0.10 ,0.1,0.04,100,10,2.43535
0.10 ,0.1,0.04,100,20,2.46385
0.10 ,0.1,0.04,100,30,2.4916
0.10 ,0.1,0.04,100,40,2.519
0.10 ,0.1,0.04,100,50,2.5461
0.10 ,0.1,0.04,200,10,3.42675
0.10 ,0.1,0.04,200,20,3.4506
0.10 ,0.1,0.04,200,30,3.4739
0.10 ,0.1,0.04,200,40,3.49695
0.10 ,0.1,0.04,200,50,3.5199
0.10 ,0.1,0.04,300,10,4.32025
0.10 ,0.1,0.04,300,20,4.3431
0.10 ,0.1,0.04,300,30,4.36525
0.10 ,0.1,0.04,300,40,4.3872
0.10 ,0.1,0.04,300,50,4.4091
0.10 ,0.1,0.04,400,10,5.184
0.10 ,0.1,0.04,400,20,5.2065
0.10 ,0.1,0.04,400,30,5.2285
0.10 ,0.1,0.04,400,40,5.25
0.10 ,0.1,0.04,400,50,5.2715
0.10 ,0.1,0.045,100,10,2.35505
0.10 ,0.1,0.045,100,20,2.3828
0.10 ,0.1,0.045,100,30,2.4099
0.10 ,0.1,0.045,100,40,2.4366
0.10 ,0.1,0.045,100,50,2.4632
0.10 ,0.1,0.045,200,10,3.33195
0.10 ,0.1,0.045,200,20,3.35555
0.10 ,0.1,0.045,200,30,3.3786
0.10 ,0.1,0.045,200,40,3.40145
0.10 ,0.1,0.045,200,50,3.4243
0.10 ,0.1,0.045,300,10,4.2217
0.10 ,0.1,0.045,300,20,4.24435
0.10 ,0.1,0.045,300,30,4.2664
0.10 ,0.1,0.045,300,40,4.2883
0.10 ,0.1,0.045,300,50,4.31015
0.10 ,0.1,0.045,400,10,5.0855
0.10 ,0.1,0.045,400,20,5.1075
0.10 ,0.1,0.045,400,30,5.1295
0.10 ,0.1,0.045,400,40,5.151
0.10 ,0.1,0.045,400,50,5.1725
0.10 ,0.1,0.05,100,10,2.28485
0.10 ,0.1,0.05,100,20,2.312
0.10 ,0.1,0.05,100,30,2.33855
0.10 ,0.1,0.05,100,40,2.36485
0.10 ,0.1,0.05,100,50,2.3908
0.10 ,0.1,0.05,200,10,3.25045
0.10 ,0.1,0.05,200,20,3.27385
0.10 ,0.1,0.05,200,30,3.29675
0.10 ,0.1,0.05,200,40,3.3195
0.10 ,0.1,0.05,200,50,3.3422
0.10 ,0.1,0.05,300,10,4.1379
0.10 ,0.1,0.05,300,20,4.1604
0.10 ,0.1,0.05,300,30,4.18245
0.10 ,0.1,0.05,300,40,4.20435
0.10 ,0.1,0.05,300,50,4.2262
0.10 ,0.1,0.05,400,10,5.002
0.10 ,0.1,0.05,400,20,5.0245
0.10 ,0.1,0.05,400,30,5.046
0.10 ,0.1,0.05,400,40,5.0675
0.10 ,0.1,0.05,400,50,5.089
0.20 ,0.02,0.005,100,10,1.4097
0.20 ,0.02,0.005,100,20,1.43425
0.20 ,0.02,0.005,100,30,1.4585
0.20 ,0.02,0.005,100,40,1.4825
0.20 ,0.02,0.005,100,50,1.50625
0.20 ,0.02,0.005,200,10,2.24915
0.20 ,0.02,0.005,200,20,2.26775
0.20 ,0.02,0.005,200,30,2.286
0.20 ,0.02,0.005,200,40,2.304
0.20 ,0.02,0.005,200,50,2.32195
0.20 ,0.02,0.005,300,10,2.9066
0.20 ,0.02,0.005,300,20,2.92215
0.20 ,0.02,0.005,300,30,2.9372
0.20 ,0.02,0.005,300,40,2.9522
0.20 ,0.02,0.005,300,50,2.9668
0.20 ,0.02,0.005,400,10,3.4636
0.20 ,0.02,0.005,400,20,3.47745
0.20 ,0.02,0.005,400,30,3.49055
0.20 ,0.02,0.005,400,40,3.5037
0.20 ,0.02,0.005,400,50,3.51685
0.20 ,0.02,0.01,100,10,1.33875
0.20 ,0.02,0.01,100,20,1.36095
0.20 ,0.02,0.01,100,30,1.3827
0.20 ,0.02,0.01,100,40,1.40435
0.20 ,0.02,0.01,100,50,1.4258
0.20 ,0.02,0.01,200,10,2.08755
0.20 ,0.02,0.01,200,20,2.10375
0.20 ,0.02,0.01,200,30,2.11985
0.20 ,0.02,0.01,200,40,2.13565
0.20 ,0.02,0.01,200,50,2.15165
0.20 ,0.02,0.01,300,10,2.66935
0.20 ,0.02,0.01,300,20,2.68295
0.20 ,0.02,0.01,300,30,2.6963
0.20 ,0.02,0.01,300,40,2.7095
0.20 ,0.02,0.01,300,50,2.72245
0.20 ,0.02,0.01,400,10,3.16665
0.20 ,0.02,0.01,400,20,3.1792
0.20 ,0.02,0.01,400,30,3.1904
0.20 ,0.02,0.01,400,40,3.20225
0.20 ,0.02,0.01,400,50,3.214
0.20 ,0.02,0.015,100,10,1.2918
0.20 ,0.02,0.015,100,20,1.3125
0.20 ,0.02,0.015,100,30,1.33285
0.20 ,0.02,0.015,100,40,1.353
0.20 ,0.02,0.015,100,50,1.37305
0.20 ,0.02,0.015,200,10,1.9872
0.20 ,0.02,0.015,200,20,2.0022
0.20 ,0.02,0.015,200,30,2.0171
0.20 ,0.02,0.015,200,40,2.0319
0.20 ,0.02,0.015,200,50,2.0466
0.20 ,0.02,0.015,300,10,2.5283
0.20 ,0.02,0.015,300,20,2.54095
0.20 ,0.02,0.015,300,30,2.55325
0.20 ,0.02,0.015,300,40,2.56565
0.20 ,0.02,0.015,300,50,2.57795
0.20 ,0.02,0.015,400,10,2.995
0.20 ,0.02,0.015,400,20,3.00635
0.20 ,0.02,0.015,400,30,3.0173
0.20 ,0.02,0.015,400,40,3.0284
0.20 ,0.02,0.015,400,50,3.0394
0.20 ,0.02,0.02,100,10,1.25495
0.20 ,0.02,0.02,100,20,1.27455
0.20 ,0.02,0.02,100,30,1.29385
0.20 ,0.02,0.02,100,40,1.31295
0.20 ,0.02,0.02,100,50,1.3319
0.20 ,0.02,0.02,200,10,1.91205
0.20 ,0.02,0.02,200,20,1.9263
0.20 ,0.02,0.02,200,30,1.94045
0.20 ,0.02,0.02,200,40,1.95435
0.20 ,0.02,0.02,200,50,1.9683
0.20 ,0.02,0.02,300,10,2.4257
0.20 ,0.02,0.02,300,20,2.43765
0.20 ,0.02,0.02,300,30,2.4494
0.20 ,0.02,0.02,300,40,2.4611
0.20 ,0.02,0.02,300,50,2.47285
0.20 ,0.02,0.02,400,10,2.87245
0.20 ,0.02,0.02,400,20,2.8831
0.20 ,0.02,0.02,400,30,2.89375
0.20 ,0.02,0.02,400,40,2.9043
0.20 ,0.02,0.02,400,50,2.91505
0.20 ,0.02,0.025,100,10,1.22395
0.20 ,0.02,0.025,100,20,1.2426
0.20 ,0.02,0.025,100,30,1.26105
0.20 ,0.02,0.025,100,40,1.27935
0.20 ,0.02,0.025,100,50,1.29735
0.20 ,0.02,0.025,200,10,1.85125
0.20 ,0.02,0.025,200,20,1.8647
0.20 ,0.02,0.025,200,30,1.87825
0.20 ,0.02,0.025,200,40,1.8916
0.20 ,0.02,0.025,200,50,1.90485
0.20 ,0.02,0.025,300,10,2.34425
0.20 ,0.02,0.025,300,20,2.3558
0.20 ,0.02,0.025,300,30,2.36715
0.20 ,0.02,0.025,300,40,2.3784
0.20 ,0.02,0.025,300,50,2.3898
0.20 ,0.02,0.025,400,10,2.77665
0.20 ,0.02,0.025,400,20,2.78725
0.20 ,0.02,0.025,400,30,2.7975
0.20 ,0.02,0.025,400,40,2.8078
0.20 ,0.02,0.025,400,50,2.81815
0.20 ,0.02,0.03,100,10,1.1968
0.20 ,0.02,0.03,100,20,1.2147
0.20 ,0.02,0.03,100,30,1.23245
0.20 ,0.02,0.03,100,40,1.2499
0.20 ,0.02,0.03,100,50,1.26725
0.20 ,0.02,0.03,200,10,1.79965
0.20 ,0.02,0.03,200,20,1.8128
0.20 ,0.02,0.03,200,30,1.82565
0.20 ,0.02,0.03,200,40,1.83855
0.20 ,0.02,0.03,200,50,1.85125
0.20 ,0.02,0.03,300,10,2.2764
0.20 ,0.02,0.03,300,20,2.2877
0.20 ,0.02,0.03,300,30,2.2989
0.20 ,0.02,0.03,300,40,2.3098
0.20 ,0.02,0.03,300,50,2.3208
0.20 ,0.02,0.03,400,10,2.69805
0.20 ,0.02,0.03,400,20,2.70825
0.20 ,0.02,0.03,400,30,2.7184
0.20 ,0.02,0.03,400,40,2.72875
0.20 ,0.02,0.03,400,50,2.7385
0.20 ,0.02,0.035,100,10,1.17245
0.20 ,0.02,0.035,100,20,1.1898
0.20 ,0.02,0.035,100,30,1.2069
0.20 ,0.02,0.035,100,40,1.22375
0.20 ,0.02,0.035,100,50,1.24045
0.20 ,0.02,0.035,200,10,1.75465
0.20 ,0.02,0.035,200,20,1.76735
0.20 ,0.02,0.035,200,30,1.78
0.20 ,0.02,0.035,200,40,1.79245
0.20 ,0.02,0.035,200,50,1.80485
0.20 ,0.02,0.035,300,10,2.2185
0.20 ,0.02,0.035,300,20,2.2295
0.20 ,0.02,0.035,300,30,2.24025
0.20 ,0.02,0.035,300,40,2.25115
0.20 ,0.02,0.035,300,50,2.2618
0.20 ,0.02,0.035,400,10,2.6318
0.20 ,0.02,0.035,400,20,2.6416
0.20 ,0.02,0.035,400,30,2.65175
0.20 ,0.02,0.035,400,40,2.6614
0.20 ,0.02,0.035,400,50,2.6714
0.20 ,0.02,0.04,100,10,1.1503
0.20 ,0.02,0.04,100,20,1.167
0.20 ,0.02,0.04,100,30,1.18365
0.20 ,0.02,0.04,100,40,1.20005
0.20 ,0.02,0.04,100,50,1.2162
0.20 ,0.02,0.04,200,10,1.71495
0.20 ,0.02,0.04,200,20,1.72725
0.20 ,0.02,0.04,200,30,1.7395
0.20 ,0.02,0.04,200,40,1.7515
0.20 ,0.02,0.04,200,50,1.76395
0.20 ,0.02,0.04,300,10,2.1682
0.20 ,0.02,0.04,300,20,2.17885
0.20 ,0.02,0.04,300,30,2.18925
0.20 ,0.02,0.04,300,40,2.19995
0.20 ,0.02,0.04,300,50,2.21045
0.20 ,0.02,0.04,400,10,2.57445
0.20 ,0.02,0.04,400,20,2.58415
0.20 ,0.02,0.04,400,30,2.59385
0.20 ,0.02,0.04,400,40,2.60365
0.20 ,0.02,0.04,400,50,2.6134
0.20 ,0.02,0.045,100,10,1.13
0.20 ,0.02,0.045,100,20,1.1462
0.20 ,0.02,0.045,100,30,1.16235
0.20 ,0.02,0.045,100,40,1.1782
0.20 ,0.02,0.045,100,50,1.19385
0.20 ,0.02,0.045,200,10,1.67955
0.20 ,0.02,0.045,200,20,1.6915
0.20 ,0.02,0.045,200,30,1.7034
0.20 ,0.02,0.045,200,40,1.7151
0.20 ,0.02,0.045,200,50,1.72705
0.20 ,0.02,0.045,300,10,2.12355
0.20 ,0.02,0.045,300,20,2.13395
0.20 ,0.02,0.045,300,30,2.14435
0.20 ,0.02,0.045,300,40,2.15485
0.20 ,0.02,0.045,300,50,2.16505
0.20 ,0.02,0.045,400,10,2.52405
0.20 ,0.02,0.045,400,20,2.5338
0.20 ,0.02,0.045,400,30,2.54355
0.20 ,0.02,0.045,400,40,2.55315
0.20 ,0.02,0.045,400,50,2.563
0.20 ,0.02,0.05,100,10,1.1112
0.20 ,0.02,0.05,100,20,1.12695
0.20 ,0.02,0.05,100,30,1.14255
0.20 ,0.02,0.05,100,40,1.158
0.20 ,0.02,0.05,100,50,1.1733
0.20 ,0.02,0.05,200,10,1.6472
0.20 ,0.02,0.05,200,20,1.659
0.20 ,0.02,0.05,200,30,1.67055
0.20 ,0.02,0.05,200,40,1.68225
0.20 ,0.02,0.05,200,50,1.69375
0.20 ,0.02,0.05,300,10,2.0837
0.20 ,0.02,0.05,300,20,2.0938
0.20 ,0.02,0.05,300,30,2.1043
0.20 ,0.02,0.05,300,40,2.11435
0.20 ,0.02,0.05,300,50,2.12455
0.20 ,0.02,0.05,400,10,2.47965
0.20 ,0.02,0.05,400,20,2.4892
0.20 ,0.02,0.05,400,30,2.49875
0.20 ,0.02,0.05,400,40,2.50865
0.20 ,0.02,0.05,400,50,2.51815
0.20 ,0.04,0.005,100,10,2.3477
0.20 ,0.04,0.005,100,20,2.38685
0.20 ,0.04,0.005,100,30,2.42495
0.20 ,0.04,0.005,100,40,2.4625
0.20 ,0.04,0.005,100,50,2.4997
0.20 ,0.04,0.005,200,10,3.63415
0.20 ,0.04,0.005,200,20,3.6631
0.20 ,0.04,0.005,200,30,3.69105
0.20 ,0.04,0.005,200,40,3.7186
0.20 ,0.04,0.005,200,50,3.7455
0.20 ,0.04,0.005,300,10,4.6368
0.20 ,0.04,0.005,300,20,4.6613
0.20 ,0.04,0.005,300,30,4.68525
0.20 ,0.04,0.005,300,40,4.70835
0.20 ,0.04,0.005,300,50,4.73175
0.20 ,0.04,0.005,400,10,5.509
0.20 ,0.04,0.005,400,20,5.5325
0.20 ,0.04,0.005,400,30,5.5535
0.20 ,0.04,0.005,400,40,5.5745
0.20 ,0.04,0.005,400,50,5.5955
0.20 ,0.04,0.01,100,10,2.1572
0.20 ,0.04,0.01,100,20,2.19095
0.20 ,0.04,0.01,100,30,2.2239
0.20 ,0.04,0.01,100,40,2.2565
0.20 ,0.04,0.01,100,50,2.2887
0.20 ,0.04,0.01,200,10,3.27465
0.20 ,0.04,0.01,200,20,3.2994
0.20 ,0.04,0.01,200,30,3.324
0.20 ,0.04,0.01,200,40,3.34785
0.20 ,0.04,0.01,200,50,3.37175
0.20 ,0.04,0.01,300,10,4.165
0.20 ,0.04,0.01,300,20,4.1868
0.20 ,0.04,0.01,300,30,4.20795
0.20 ,0.04,0.01,300,40,4.22835
0.20 ,0.04,0.01,300,50,4.24945
0.20 ,0.04,0.01,400,10,4.96075
0.20 ,0.04,0.01,400,20,4.98115
0.20 ,0.04,0.01,400,30,5
0.20 ,0.04,0.01,400,40,5.0195
0.20 ,0.04,0.01,400,50,5.039
0.20 ,0.04,0.015,100,10,2.0442
0.20 ,0.04,0.015,100,20,2.07505
0.20 ,0.04,0.015,100,30,2.1053
0.20 ,0.04,0.015,100,40,2.1352
0.20 ,0.04,0.015,100,50,2.1648
0.20 ,0.04,0.015,200,10,3.07775
0.20 ,0.04,0.015,200,20,3.10085
0.20 ,0.04,0.015,200,30,3.12345
0.20 ,0.04,0.015,200,40,3.1459
0.20 ,0.04,0.015,200,50,3.16805
0.20 ,0.04,0.015,300,10,3.9176
0.20 ,0.04,0.015,300,20,3.93775
0.20 ,0.04,0.015,300,30,3.95775
0.20 ,0.04,0.015,300,40,3.9783
0.20 ,0.04,0.015,300,50,3.99745
0.20 ,0.04,0.015,400,10,4.68035
0.20 ,0.04,0.015,400,20,4.69995
0.20 ,0.04,0.015,400,30,4.71835
0.20 ,0.04,0.015,400,40,4.73665
0.20 ,0.04,0.015,400,50,4.75585
0.20 ,0.04,0.02,100,10,1.96145
0.20 ,0.04,0.02,100,20,1.9904
0.20 ,0.04,0.02,100,30,2.01885
0.20 ,0.04,0.02,100,40,2.047
0.20 ,0.04,0.02,100,50,2.0748
0.20 ,0.04,0.02,200,10,2.94075
0.20 ,0.04,0.02,200,20,2.96275
0.20 ,0.04,0.02,200,30,2.98435
0.20 ,0.04,0.02,200,40,3.0057
0.20 ,0.04,0.02,200,50,3.02705
0.20 ,0.04,0.02,300,10,3.7504
0.20 ,0.04,0.02,300,20,3.7698
0.20 ,0.04,0.02,300,30,3.78915
0.20 ,0.04,0.02,300,40,3.8086
0.20 ,0.04,0.02,300,50,3.82785
0.20 ,0.04,0.02,400,10,4.4947
0.20 ,0.04,0.02,400,20,4.5135
0.20 ,0.04,0.02,400,30,4.5315
0.20 ,0.04,0.02,400,40,4.5499
0.20 ,0.04,0.02,400,50,4.5681
0.20 ,0.04,0.025,100,10,1.89535
0.20 ,0.04,0.025,100,20,1.9228
0.20 ,0.04,0.025,100,30,1.9499
0.20 ,0.04,0.025,100,40,1.97675
0.20 ,0.04,0.025,100,50,2.0033
0.20 ,0.04,0.025,200,10,2.83545
0.20 ,0.04,0.025,200,20,2.8569
0.20 ,0.04,0.025,200,30,2.8778
0.20 ,0.04,0.025,200,40,2.8984
0.20 ,0.04,0.025,200,50,2.9191
0.20 ,0.04,0.025,300,10,3.6244
0.20 ,0.04,0.025,300,20,3.644
0.20 ,0.04,0.025,300,30,3.6628
0.20 ,0.04,0.025,300,40,3.6817
0.20 ,0.04,0.025,300,50,3.70035
0.20 ,0.04,0.025,400,10,4.3567
0.20 ,0.04,0.025,400,20,4.3752
0.20 ,0.04,0.025,400,30,4.3933
0.20 ,0.04,0.025,400,40,4.4115
0.20 ,0.04,0.025,400,50,4.4292
0.20 ,0.04,0.03,100,10,1.8396
0.20 ,0.04,0.03,100,20,1.8661
0.20 ,0.04,0.03,100,30,1.89225
0.20 ,0.04,0.03,100,40,1.91805
0.20 ,0.04,0.03,100,50,1.94355
0.20 ,0.04,0.03,200,10,2.75
0.20 ,0.04,0.03,200,20,2.7707
0.20 ,0.04,0.03,200,30,2.79115
0.20 ,0.04,0.03,200,40,2.8114
0.20 ,0.04,0.03,200,50,2.8317
0.20 ,0.04,0.03,300,10,3.5242
0.20 ,0.04,0.03,300,20,3.5428
0.20 ,0.04,0.03,300,30,3.5616
0.20 ,0.04,0.03,300,40,3.58015
0.20 ,0.04,0.03,300,50,3.59865
0.20 ,0.04,0.03,400,10,4.24815
0.20 ,0.04,0.03,400,20,4.26645
0.20 ,0.04,0.03,400,30,4.2846
0.20 ,0.04,0.03,400,40,4.302
0.20 ,0.04,0.03,400,50,4.3198
0.20 ,0.04,0.035,100,10,1.7916
0.20 ,0.04,0.035,100,20,1.81725
0.20 ,0.04,0.035,100,30,1.84245
0.20 ,0.04,0.035,100,40,1.86755
0.20 ,0.04,0.035,100,50,1.89215
0.20 ,0.04,0.035,200,10,2.6785
0.20 ,0.04,0.035,200,20,2.6987
0.20 ,0.04,0.035,200,30,2.7186
0.20 ,0.04,0.035,200,40,2.7386
0.20 ,0.04,0.035,200,50,2.75875
0.20 ,0.04,0.035,300,10,3.44125
0.20 ,0.04,0.035,300,20,3.46
0.20 ,0.04,0.035,300,30,3.4784
0.20 ,0.04,0.035,300,40,3.49675
0.20 ,0.04,0.035,300,50,3.51505
0.20 ,0.04,0.035,400,10,4.15995
0.20 ,0.04,0.035,400,20,4.1782
0.20 ,0.04,0.035,400,30,4.1953
0.20 ,0.04,0.035,400,40,4.21345
0.20 ,0.04,0.035,400,50,4.23085
0.20 ,0.04,0.04,100,10,1.7493
0.20 ,0.04,0.04,100,20,1.7742
0.20 ,0.04,0.04,100,30,1.79875
0.20 ,0.04,0.04,100,40,1.82305
0.20 ,0.04,0.04,100,50,1.847
0.20 ,0.04,0.04,200,10,2.6169
0.20 ,0.04,0.04,200,20,2.6368
0.20 ,0.04,0.04,200,30,2.65665
0.20 ,0.04,0.04,200,40,2.67625
0.20 ,0.04,0.04,200,50,2.69575
0.20 ,0.04,0.04,300,10,3.37135
0.20 ,0.04,0.04,300,20,3.3897
0.20 ,0.04,0.04,300,30,3.4082
0.20 ,0.04,0.04,300,40,3.42645
0.20 ,0.04,0.04,300,50,3.4445
0.20 ,0.04,0.04,400,10,4.0859
0.20 ,0.04,0.04,400,20,4.10305
0.20 ,0.04,0.04,400,30,4.1213
0.20 ,0.04,0.04,400,40,4.13905
0.20 ,0.04,0.04,400,50,4.15665
0.20 ,0.04,0.045,100,10,1.71175
0.20 ,0.04,0.045,100,20,1.73585
0.20 ,0.04,0.045,100,30,1.75985
0.20 ,0.04,0.045,100,40,1.7836
0.20 ,0.04,0.045,100,50,1.80705
0.20 ,0.04,0.045,200,10,2.56365
0.20 ,0.04,0.045,200,20,2.5831
0.20 ,0.04,0.045,200,30,2.60255
0.20 ,0.04,0.045,200,40,2.6219
0.20 ,0.04,0.045,200,50,2.64125
0.20 ,0.04,0.045,300,10,3.3115
0.20 ,0.04,0.045,300,20,3.32965
0.20 ,0.04,0.045,300,30,3.34785
0.20 ,0.04,0.045,300,40,3.36575
0.20 ,0.04,0.045,300,50,3.38415
0.20 ,0.04,0.045,400,10,4.02305
0.20 ,0.04,0.045,400,20,4.04085
0.20 ,0.04,0.045,400,30,4.0585
0.20 ,0.04,0.045,400,40,4.07555
0.20 ,0.04,0.045,400,50,4.0932
0.20 ,0.04,0.05,100,10,1.6776
0.20 ,0.04,0.05,100,20,1.70135
0.20 ,0.04,0.05,100,30,1.72475
0.20 ,0.04,0.05,100,40,1.74795
0.20 ,0.04,0.05,100,50,1.77095
0.20 ,0.04,0.05,200,10,2.51625
0.20 ,0.04,0.05,200,20,2.5357
0.20 ,0.04,0.05,200,30,2.555
0.20 ,0.04,0.05,200,40,2.5742
0.20 ,0.04,0.05,200,50,2.59335
0.20 ,0.04,0.05,300,10,3.25895
0.20 ,0.04,0.05,300,20,3.27715
0.20 ,0.04,0.05,300,30,3.29525
0.20 ,0.04,0.05,300,40,3.3133
0.20 ,0.04,0.05,300,50,3.3313
0.20 ,0.04,0.05,400,10,3.9686
0.20 ,0.04,0.05,400,20,3.9863
0.20 ,0.04,0.05,400,30,4.00385
0.20 ,0.04,0.05,400,40,4.0214
0.20 ,0.04,0.05,400,50,4.0389
0.20 ,0.06,0.005,100,10,3.16845
0.20 ,0.06,0.005,100,20,3.2201
0.20 ,0.06,0.005,100,30,3.27
0.20 ,0.06,0.005,100,40,3.31905
0.20 ,0.06,0.005,100,50,3.3674
0.20 ,0.06,0.005,200,10,4.8416
0.20 ,0.06,0.005,200,20,4.88095
0.20 ,0.06,0.005,200,30,4.918
0.20 ,0.06,0.005,200,40,4.95435
0.20 ,0.06,0.005,200,50,4.9903
0.20 ,0.06,0.005,300,10,6.173
0.20 ,0.06,0.005,300,20,6.208
0.20 ,0.06,0.005,300,30,6.2405
0.20 ,0.06,0.005,300,40,6.272
0.20 ,0.06,0.005,300,50,6.303
0.20 ,0.06,0.005,400,10,7.3615
0.20 ,0.06,0.005,400,20,7.395
0.20 ,0.06,0.005,400,30,7.425
0.20 ,0.06,0.005,400,40,7.4545
0.20 ,0.06,0.005,400,50,7.4835
0.20 ,0.06,0.01,100,10,2.8457
0.20 ,0.06,0.01,100,20,2.88905
0.20 ,0.06,0.01,100,30,2.9313
0.20 ,0.06,0.01,100,40,2.97295
0.20 ,0.06,0.01,100,50,3.01405
0.20 ,0.06,0.01,200,10,4.2909
0.20 ,0.06,0.01,200,20,4.3243
0.20 ,0.06,0.01,200,30,4.3566
0.20 ,0.06,0.01,200,40,4.38845
0.20 ,0.06,0.01,200,50,4.4201
0.20 ,0.06,0.01,300,10,5.4875
0.20 ,0.06,0.01,300,20,5.518
0.20 ,0.06,0.01,300,30,5.547
